GITTER_ID_1km;x_mp_1km;y_mp_1km;Einwohner
CRS3035RES1000mN2689000E4337000;4337500;2689500;4
CRS3035RES1000mN2689000E4341000;4341500;2689500;11
CRS3035RES1000mN2690000E4341000;4341500;2690500;4
CRS3035RES1000mN2691000E4340000;4340500;2691500;3
CRS3035RES1000mN2691000E4341000;4341500;2691500;22
CRS3035RES1000mN2692000E4341000;4341500;2692500;21
CRS3035RES1000mN2692000E4344000;4344500;2692500;18
CRS3035RES1000mN2693000E4340000;4340500;2693500;29
CRS3035RES1000mN2693000E4341000;4341500;2693500;5
CRS3035RES1000mN2693000E4343000;4343500;2693500;3
CRS3035RES1000mN2694000E4340000;4340500;2694500;17
CRS3035RES1000mN2694000E4343000;4343500;2694500;9
CRS3035RES1000mN2695000E4340000;4340500;2695500;24
CRS3035RES1000mN2695000E4343000;4343500;2695500;16
CRS3035RES1000mN2696000E4339000;4339500;2696500;8
CRS3035RES1000mN2696000E4341000;4341500;2696500;8
CRS3035RES1000mN2696000E4342000;4342500;2696500;12
CRS3035RES1000mN2696000E4343000;4343500;2696500;17
CRS3035RES1000mN2697000E4339000;4339500;2697500;5
CRS3035RES1000mN2697000E4340000;4340500;2697500;3
CRS3035RES1000mN2697000E4342000;4342500;2697500;68
CRS3035RES1000mN2697000E4343000;4343500;2697500;16
CRS3035RES1000mN2697000E4346000;4346500;2697500;4
CRS3035RES1000mN2698000E4337000;4337500;2698500;15
CRS3035RES1000mN2698000E4338000;4338500;2698500;17
CRS3035RES1000mN2698000E4339000;4339500;2698500;65
CRS3035RES1000mN2698000E4340000;4340500;2698500;15
CRS3035RES1000mN2698000E4341000;4341500;2698500;218
CRS3035RES1000mN2698000E4342000;4342500;2698500;393
CRS3035RES1000mN2698000E4343000;4343500;2698500;16
CRS3035RES1000mN2699000E4333000;4333500;2699500;8
CRS3035RES1000mN2699000E4337000;4337500;2699500;8
CRS3035RES1000mN2699000E4338000;4338500;2699500;69
CRS3035RES1000mN2699000E4339000;4339500;2699500;125
CRS3035RES1000mN2699000E4340000;4340500;2699500;172
CRS3035RES1000mN2699000E4341000;4341500;2699500;1906
CRS3035RES1000mN2699000E4342000;4342500;2699500;2972
CRS3035RES1000mN2699000E4343000;4343500;2699500;78
CRS3035RES1000mN2699000E4416000;4416500;2699500;26
CRS3035RES1000mN2700000E4338000;4338500;2700500;92
CRS3035RES1000mN2700000E4339000;4339500;2700500;321
CRS3035RES1000mN2700000E4340000;4340500;2700500;149
CRS3035RES1000mN2700000E4341000;4341500;2700500;666
CRS3035RES1000mN2700000E4342000;4342500;2700500;566
CRS3035RES1000mN2700000E4343000;4343500;2700500;6
CRS3035RES1000mN2700000E4352000;4352500;2700500;4
CRS3035RES1000mN2701000E4338000;4338500;2701500;6
CRS3035RES1000mN2701000E4339000;4339500;2701500;63
CRS3035RES1000mN2701000E4340000;4340500;2701500;55
CRS3035RES1000mN2701000E4341000;4341500;2701500;65
CRS3035RES1000mN2701000E4342000;4342500;2701500;9
CRS3035RES1000mN2701000E4351000;4351500;2701500;5
CRS3035RES1000mN2702000E4338000;4338500;2702500;13
CRS3035RES1000mN2702000E4339000;4339500;2702500;38
CRS3035RES1000mN2702000E4340000;4340500;2702500;15
CRS3035RES1000mN2702000E4341000;4341500;2702500;310
CRS3035RES1000mN2702000E4342000;4342500;2702500;128
CRS3035RES1000mN2702000E4343000;4343500;2702500;12
CRS3035RES1000mN2702000E4344000;4344500;2702500;4
CRS3035RES1000mN2702000E4415000;4415500;2702500;15
CRS3035RES1000mN2702000E4416000;4416500;2702500;270
CRS3035RES1000mN2703000E4338000;4338500;2703500;357
CRS3035RES1000mN2703000E4339000;4339500;2703500;352
CRS3035RES1000mN2703000E4340000;4340500;2703500;82
CRS3035RES1000mN2703000E4341000;4341500;2703500;78
CRS3035RES1000mN2703000E4342000;4342500;2703500;5
CRS3035RES1000mN2703000E4343000;4343500;2703500;225
CRS3035RES1000mN2703000E4412000;4412500;2703500;3
CRS3035RES1000mN2703000E4414000;4414500;2703500;9
CRS3035RES1000mN2703000E4415000;4415500;2703500;979
CRS3035RES1000mN2703000E4416000;4416500;2703500;2633
CRS3035RES1000mN2703000E4417000;4417500;2703500;50
CRS3035RES1000mN2704000E4330000;4330500;2704500;5
CRS3035RES1000mN2704000E4338000;4338500;2704500;185
CRS3035RES1000mN2704000E4339000;4339500;2704500;112
CRS3035RES1000mN2704000E4340000;4340500;2704500;90
CRS3035RES1000mN2704000E4341000;4341500;2704500;282
CRS3035RES1000mN2704000E4342000;4342500;2704500;7
CRS3035RES1000mN2704000E4343000;4343500;2704500;151
CRS3035RES1000mN2704000E4401000;4401500;2704500;5
CRS3035RES1000mN2704000E4415000;4415500;2704500;224
CRS3035RES1000mN2704000E4416000;4416500;2704500;2384
CRS3035RES1000mN2704000E4417000;4417500;2704500;565
CRS3035RES1000mN2705000E4326000;4326500;2705500;25
CRS3035RES1000mN2705000E4327000;4327500;2705500;46
CRS3035RES1000mN2705000E4328000;4328500;2705500;49
CRS3035RES1000mN2705000E4329000;4329500;2705500;80
CRS3035RES1000mN2705000E4330000;4330500;2705500;23
CRS3035RES1000mN2705000E4334000;4334500;2705500;8
CRS3035RES1000mN2705000E4336000;4336500;2705500;3
CRS3035RES1000mN2705000E4338000;4338500;2705500;459
CRS3035RES1000mN2705000E4339000;4339500;2705500;81
CRS3035RES1000mN2705000E4340000;4340500;2705500;624
CRS3035RES1000mN2705000E4341000;4341500;2705500;977
CRS3035RES1000mN2705000E4342000;4342500;2705500;258
CRS3035RES1000mN2705000E4343000;4343500;2705500;296
CRS3035RES1000mN2705000E4395000;4395500;2705500;23
CRS3035RES1000mN2705000E4396000;4396500;2705500;26
CRS3035RES1000mN2705000E4406000;4406500;2705500;5
CRS3035RES1000mN2705000E4409000;4409500;2705500;16
CRS3035RES1000mN2705000E4415000;4415500;2705500;3
CRS3035RES1000mN2705000E4416000;4416500;2705500;12
CRS3035RES1000mN2705000E4417000;4417500;2705500;62
CRS3035RES1000mN2706000E4329000;4329500;2706500;3
CRS3035RES1000mN2706000E4338000;4338500;2706500;140
CRS3035RES1000mN2706000E4339000;4339500;2706500;31
CRS3035RES1000mN2706000E4340000;4340500;2706500;57
CRS3035RES1000mN2706000E4341000;4341500;2706500;124
CRS3035RES1000mN2706000E4342000;4342500;2706500;329
CRS3035RES1000mN2706000E4343000;4343500;2706500;94
CRS3035RES1000mN2706000E4344000;4344500;2706500;3
CRS3035RES1000mN2706000E4352000;4352500;2706500;133
CRS3035RES1000mN2706000E4397000;4397500;2706500;11
CRS3035RES1000mN2706000E4398000;4398500;2706500;409
CRS3035RES1000mN2706000E4399000;4399500;2706500;490
CRS3035RES1000mN2706000E4400000;4400500;2706500;206
CRS3035RES1000mN2706000E4401000;4401500;2706500;4
CRS3035RES1000mN2706000E4405000;4405500;2706500;31
CRS3035RES1000mN2706000E4406000;4406500;2706500;3
CRS3035RES1000mN2706000E4410000;4410500;2706500;18
CRS3035RES1000mN2706000E4416000;4416500;2706500;33
CRS3035RES1000mN2706000E4417000;4417500;2706500;29
CRS3035RES1000mN2707000E4338000;4338500;2707500;26
CRS3035RES1000mN2707000E4339000;4339500;2707500;40
CRS3035RES1000mN2707000E4340000;4340500;2707500;9
CRS3035RES1000mN2707000E4341000;4341500;2707500;16
CRS3035RES1000mN2707000E4342000;4342500;2707500;400
CRS3035RES1000mN2707000E4343000;4343500;2707500;19
CRS3035RES1000mN2707000E4349000;4349500;2707500;5
CRS3035RES1000mN2707000E4350000;4350500;2707500;81
CRS3035RES1000mN2707000E4351000;4351500;2707500;176
