unixtime,germany,belgium,denmark_west,denmark_east,france,netherlands,norway,sweden,switzerland,czech_republic,italy,slovenia,hungary
1514765700,-5.27,14.16,21.8,26.33,6.74,27.2,26.33,26.33,36.99,-10.0,45.73,4.9,4.29
1514766600,-5.27,14.16,21.8,26.33,6.74,27.2,26.33,26.33,36.99,-10.0,45.73,4.9,4.29
1514767500,-5.27,14.16,21.8,26.33,6.74,27.2,26.33,26.33,36.99,-10.0,45.73,4.9,4.29
1514768400,-5.27,14.16,21.8,26.33,6.74,27.2,26.33,26.33,36.99,-10.0,45.73,4.9,4.29
1514769300,-29.99,4.74,26.43,26.43,4.74,27.3,26.43,26.43,31.08,-19.0,44.16,3.0,0.22
1514770200,-29.99,4.74,26.43,26.43,4.74,27.3,26.43,26.43,31.08,-19.0,44.16,3.0,0.22
1514771100,-29.99,4.74,26.43,26.43,4.74,27.3,26.43,26.43,31.08,-19.0,44.16,3.0,0.22
1514772000,-29.99,4.74,26.43,26.43,4.74,27.3,26.43,26.43,31.08,-19.0,44.16,3.0,0.22
1514772900,-30.48,3.66,26.1,26.1,3.66,30.1,26.1,26.1,29.17,-20.1,42.24,1.0,0.21
1514773800,-30.96,3.66,26.1,26.1,3.66,30.1,26.1,26.1,29.17,-20.1,42.24,1.0,0.21
1514774700,-31.45,3.66,26.1,26.1,3.66,30.1,26.1,26.1,29.17,-20.1,42.24,1.0,0.21
1514775600,-31.94,3.66,26.1,26.1,3.66,30.1,26.1,26.1,29.17,-20.1,42.24,1.0,0.21
1514776500,-32.43,1.26,24.7,24.7,1.26,20.87,24.7,24.7,21.96,-26.9,39.29,1.0,0.07
1514777400,-32.91,1.26,24.7,24.7,1.26,20.87,24.7,24.7,21.96,-26.9,39.29,1.0,0.07
1514778300,-33.4,1.26,24.7,24.7,1.26,20.87,24.7,24.7,21.96,-26.9,39.29,1.0,0.07
1514779200,-33.89,1.26,24.7,24.7,1.26,20.87,24.7,24.7,21.96,-26.9,39.29,1.0,0.07
1514780100,-34.37,-20.1,24.74,24.74,-20.1,25.56,24.74,24.74,14.96,-27.5,36.0,-42.5,-17.44
1514781000,-34.86,-20.1,24.74,24.74,-20.1,25.56,24.74,24.74,14.96,-27.5,36.0,-42.5,-17.44
1514781900,-35.35,-20.1,24.74,24.74,-20.1,25.56,24.74,24.74,14.96,-27.5,36.0,-42.5,-17.44
1514782800,-35.83,-20.1,24.74,24.74,-20.1,25.56,24.74,24.74,14.96,-27.5,36.0,-42.5,-17.44
1514783700,-36.32,-31.82,18.01,18.01,-31.82,25.58,24.76,18.01,-5.92,-34.0,41.99,-43.08,-25.97
1514784600,-36.81,-31.82,18.01,18.01,-31.82,25.58,24.76,18.01,-5.92,-34.0,41.99,-43.65,-25.97
1514785500,-37.3,-31.82,18.01,18.01,-31.82,25.58,24.76,18.01,-5.92,-34.0,41.99,-44.23,-25.97
1514786400,-37.78,-31.82,18.01,18.01,-31.82,25.58,24.76,18.01,-5.92,-34.0,41.99,-44.81,-25.97
1514787300,-38.27,-28.66,10.18,10.18,-28.66,25.81,24.98,17.78,-6.1,-35.0,42.25,-45.38,0.03
1514788200,-38.76,-28.66,10.18,10.18,-28.66,25.81,24.98,17.78,-6.1,-35.0,42.25,-45.96,0.03
1514789100,-39.24,-28.66,10.18,10.18,-28.66,25.81,24.98,17.78,-6.1,-35.0,42.25,-46.54,0.03
1514790000,-39.73,-28.66,10.18,10.18,-28.66,25.81,24.98,17.78,-6.1,-35.0,42.25,-47.12,0.03
1514790900,-40.22,-13.71,17.8,17.8,-13.71,29.9,25.71,17.8,-10.02,-30.0,44.97,-47.69,0.03
1514791800,-40.71,-13.71,17.8,17.8,-13.71,29.9,25.71,17.8,-10.02,-30.0,44.97,-48.27,0.03
1514792700,-41.19,-13.71,17.8,17.8,-13.71,29.9,25.71,17.8,-10.02,-30.0,44.97,-48.85,0.03
1514793600,-41.68,-13.71,17.8,17.8,-13.71,29.9,25.71,17.8,-10.02,-30.0,44.97,-49.42,0.03
1514794500,-42.17,-19.33,19.76,19.76,-4.14,26.33,25.48,19.76,-5.71,-35.0,45.0,-50.0,0.08
1514795400,-42.65,-19.33,19.76,19.76,-4.14,26.33,25.48,19.76,-5.71,-35.0,45.0,-50.0,0.08
1514796300,-43.14,-19.33,19.76,19.76,-4.14,26.33,25.48,19.76,-5.71,-35.0,45.0,-50.0,0.08
1514797200,-43.63,-19.33,19.76,19.76,-4.14,26.33,25.48,19.76,-5.71,-35.0,45.0,-50.0,0.08
1514798100,-44.12,-15.78,20.73,20.73,2.03,26.38,25.54,20.73,-1.88,-21.0,44.94,0.15,0.11
1514799000,-44.6,-15.78,20.73,20.73,2.03,26.38,25.54,20.73,-1.88,-21.0,44.94,0.15,0.11
1514799900,-45.09,-15.78,20.73,20.73,2.03,26.38,25.54,20.73,-1.88,-21.0,44.94,0.15,0.11
1514800800,-45.58,-15.78,20.73,20.73,2.03,26.38,25.54,20.73,-1.88,-21.0,44.94,0.15,0.11
1514801700,-46.06,-12.05,24.76,24.76,-15.51,29.9,26.07,24.76,-10.48,-4.01,45.04,0.15,0.21
1514802600,-46.55,-12.05,24.76,24.76,-15.51,29.9,26.07,24.76,-10.48,-4.01,45.04,0.15,0.21
1514803500,-47.04,-12.05,24.76,24.76,-15.51,29.9,26.07,24.76,-10.48,-4.01,45.04,0.15,0.21
1514804400,-47.52,-12.05,24.76,24.76,-15.51,29.9,26.07,24.76,-10.48,-4.01,45.04,0.15,0.21
1514805300,-48.01,-0.42,25.68,25.68,-0.42,34.9,26.12,25.68,-6.79,-2.0,46.67,0.15,0.21
1514806200,-48.5,-0.42,25.68,25.68,-0.42,34.9,26.12,25.68,-6.79,-2.0,46.67,0.15,0.21
1514807100,-48.99,-0.42,25.68,25.68,-0.42,34.9,26.12,25.68,-6.79,-2.0,46.67,0.15,0.21
1514808000,-49.47,-0.42,25.68,25.68,-0.42,34.9,26.12,25.68,-6.79,-2.0,46.67,0.15,0.21
1514808900,-49.96,2.3,16.56,19.99,2.3,35.8,26.16,24.09,8.57,-4.01,46.99,-19.01,0.21
1514809800,-49.96,2.3,16.56,19.99,2.3,35.8,26.16,24.09,8.57,-4.01,46.99,-19.01,0.21
1514810700,-49.96,2.3,16.56,19.99,2.3,35.8,26.16,24.09,8.57,-4.01,46.99,-19.01,0.21
1514811600,-49.96,2.3,16.56,19.99,2.3,35.8,26.16,24.09,8.57,-4.01,46.99,-19.01,0.21
1514812500,-24.29,2.3,13.21,25.01,2.3,40.4,26.19,25.01,8.53,-2.01,44.16,-17.01,0.21
1514813400,-24.29,2.3,13.21,25.01,2.3,40.4,26.19,25.01,8.53,-2.01,44.16,-17.01,0.21
1514814300,-24.29,2.3,13.21,25.01,2.3,40.4,26.19,25.01,8.53,-2.01,44.16,-17.01,0.21
1514815200,-24.29,2.3,13.21,25.01,2.3,40.4,26.19,25.01,8.53,-2.01,44.16,-17.01,0.21
1514816100,-5.59,13.76,9.15,25.81,5.0,34.15,26.19,25.81,8.52,1.85,45.26,-5.59,2.15
1514817000,-5.59,13.76,9.15,25.81,5.0,34.15,26.19,25.81,8.52,1.85,45.26,-5.59,2.15
1514817900,-5.59,13.76,9.15,25.81,5.0,34.15,26.19,25.81,8.52,1.85,45.26,-5.59,2.15
1514818800,-5.59,13.76,9.15,25.81,5.0,34.15,26.19,25.81,8.52,1.85,45.26,-5.59,2.15
1514819700,0.23,15.43,13.29,26.46,8.56,31.0,26.46,26.46,8.6,6.03,47.84,0.23,6.03
1514820600,0.23,15.43,13.29,26.46,8.56,31.0,26.46,26.46,8.6,6.03,47.84,0.23,6.03
1514821500,0.23,15.43,13.29,26.46,8.56,31.0,26.46,26.46,8.6,6.03,47.84,0.23,6.03
1514822400,0.23,15.43,13.29,26.46,8.56,31.0,26.46,26.46,8.6,6.03,47.84,0.23,6.03
1514823300,11.02,25.46,27.03,27.03,9.42,30.0,27.03,27.03,16.98,15.0,50.1,11.02,15.0
1514824200,11.02,25.46,27.03,27.03,9.42,30.0,27.03,27.03,16.98,15.0,50.1,11.02,15.0
1514825100,11.02,25.46,27.03,27.03,9.42,30.0,27.03,27.03,16.98,15.0,50.1,11.02,15.0
1514826000,11.02,25.46,27.03,27.03,9.42,30.0,27.03,27.03,16.98,15.0,50.1,11.02,15.0
1514826900,23.5,32.7,27.43,27.43,12.46,34.3,27.43,27.43,37.43,22.38,54.3,23.5,22.38
1514827800,23.5,32.7,27.43,27.43,12.46,34.3,27.43,27.43,37.43,22.38,54.3,23.5,22.38
1514828700,23.5,32.7,27.43,27.43,12.46,34.3,27.43,27.43,37.43,22.38,54.3,23.5,22.38
1514829600,23.5,32.7,27.43,27.43,12.46,34.3,27.43,27.43,37.43,22.38,54.3,23.5,22.38
1514830500,22.91,32.7,27.29,27.29,15.93,30.5,27.29,27.29,41.19,25.99,51.91,22.91,25.99
1514831400,22.91,32.7,27.29,27.29,15.93,30.5,27.29,27.29,41.19,25.99,51.91,22.91,25.99
1514832300,22.91,32.7,27.29,27.29,15.93,30.5,27.29,27.29,41.19,25.99,51.91,22.91,25.99
1514833200,22.91,32.7,27.29,27.29,15.93,30.5,27.29,27.29,41.19,25.99,51.91,22.91,25.99
1514834100,21.02,23.42,26.96,26.96,22.02,32.0,26.96,26.96,44.61,26.54,51.38,21.02,26.54
1514835000,21.02,23.42,26.96,26.96,22.02,32.0,26.96,26.96,44.61,26.54,51.38,21.02,26.54
1514835900,21.02,23.42,26.96,26.96,22.02,32.0,26.96,26.96,44.61,26.54,51.38,21.02,26.54
1514836800,21.02,23.42,26.96,26.96,22.02,32.0,26.96,26.96,44.61,26.54,51.38,21.02,26.54
1514837700,21.05,20.34,26.7,26.7,20.0,32.0,26.7,26.7,40.67,28.7,49.2,21.05,28.7
1514838600,21.05,20.34,26.7,26.7,20.0,32.0,26.7,26.7,40.67,28.7,49.2,21.05,28.7
1514839500,21.05,20.34,26.7,26.7,20.0,32.0,26.7,26.7,40.67,28.7,49.2,21.05,28.7
1514840400,21.05,20.34,26.7,26.7,20.0,32.0,26.7,26.7,40.67,28.7,49.2,21.05,28.7
1514841300,21.95,21.95,26.47,26.47,21.95,27.34,26.47,26.47,39.42,26.0,45.73,21.95,26.0
1514842200,21.95,21.95,26.47,26.47,21.95,27.34,26.47,26.47,39.42,26.0,45.73,21.95,26.0
1514843100,21.95,21.95,26.47,26.47,21.95,27.34,26.47,26.47,39.42,26.0,45.73,21.95,26.0
1514844000,21.95,21.95,26.47,26.47,21.95,27.34,26.47,26.47,39.42,26.0,45.73,21.95,26.0
1514844900,23.52,23.52,26.09,26.09,23.52,27.4,26.09,26.09,36.06,25.02,44.84,23.52,25.02
1514845800,23.52,23.52,26.09,26.09,23.52,27.4,26.09,26.09,36.06,25.02,44.84,23.52,25.02
1514846700,23.52,23.52,26.09,26.09,23.52,27.4,26.09,26.09,36.06,25.02,44.84,23.52,25.02
