timestamp,electricity_price,pv_generation,base_load,ambient_temp
0,0.0,0.0,300.0,0.0
3600,0.0,0.0,250.0,0.0
7200,0.0,0.0,220.0,0.0
10800,0.0,0.0,210.0,0.0
14400,0.0,0.0,200.0,0.0
18000,0.0,0.0,220.0,0.0
21600,0.0,0.0,280.0,0.0
25200,0.0,0.0,350.0,0.0
28800,0.0,0.0,400.0,0.0
32400,0.0,0.0,380.0,0.0
36000,0.0,0.0,360.0,0.0
39600,0.0,0.0,340.0,0.0
43200,0.0,0.0,330.0,0.0
46800,0.0,0.0,320.0,0.0
50400,0.0,0.0,310.0,0.0
54000,0.0,0.0,320.0,0.0
57600,0.0,0.0,360.0,0.0
61200,0.0,0.0,420.0,0.0
64800,0.0,0.0,500.0,0.0
68400,0.0,0.0,550.0,0.0
72000,0.0,0.0,520.0,0.0
75600,0.0,0.0,450.0,0.0
79200,0.0,0.0,380.0,0.0
82800,0.0,0.0,320.0,0.0
