time,price_$,pv_kW,load_kW
1735689600,50,2,68
1735690500,96,32,18
1735691400,79,16,25
1735692300,68,25,91
1735693200,32,45,65
1735694100,32,12,11
1735695000,25,21,19
1735695900,89,38,70
1735696800,68,11,10
1735697700,77,4,24
1735698600,22,14,59
1735699500,98,8,72
1735700400,87,46,69
1735701300,37,40,30
1735702200,35,32,74
1735703100,35,44,31
1735704000,44,40,39
1735704900,62,9,77
1735705800,55,45,68
1735706700,43,27,86
1735707600,69,40,69
1735708500,31,45,61
1735709400,43,16,18
1735710300,49,6,43
1735711200,56,11,34
1735712100,83,21,32
1735713000,36,41,98
1735713900,61,43,45
1735714800,67,0,90
1735715700,24,26,67
1735716600,69,21,82
1735717500,34,11,55
1735718400,25,6,62
1735719300,96,17,54
1735720200,97,47,28
1735721100,85,16,75
1735722000,44,26,35
1735722900,28,35,12
1735723800,75,18,68
1735724700,55,49,26
1735725600,30,48,95
1735726500,60,13,96
1735727400,23,25,92
1735728300,93,15,43
1735729200,41,14,11
1735730100,73,2,94
1735731000,45,30,49
1735731900,62,25,97
1735732800,64,3,97
1735733700,35,14,87
1735734600,98,45,37
1735735500,82,12,45
1735736400,95,7,87
1735737300,92,24,39
1735738200,68,49,25
1735739100,94,12,60
1735740000,27,34,94
1735740900,36,38,73
1735741800,24,12,61
1735742700,46,36,19
1735743600,51,18,65
1735744500,42,32,99
1735745400,86,32,23
1735746300,49,27,57
1735747200,42,5,89
1735748100,63,42,77
1735749000,31,16,73
1735749900,84,9,73
1735750800,26,2,42
1735751700,99,30,36
1735752600,82,34,83
1735753500,36,1,83
1735754400,20,26,88
1735755300,85,11,92
1735756200,77,32,56
1735757100,78,9,55
1735758000,82,35,82
1735758900,26,19,68
1735759800,49,47,73
1735760700,29,7,82
1735761600,89,17,90
1735762500,70,6,40
1735763400,46,46,44
1735764300,25,44,18
1735765200,45,13,62
1735766100,46,33,13
1735767000,78,41,52
1735767900,71,28,59
1735768800,91,26,36
1735769700,58,12,63
1735770600,30,5,13
1735771500,77,45,13
1735772400,81,45,84
1735773300,65,32,42
1735774200,82,17,21
1735775100,60,17,57
1735776000,62,36,79
1735776900,54,45,29
1735777800,22,44,66
1735778700,29,39,18
